series,date,return_pct
SP500,2019-04,3.559799102161798
SP500,2019-05,-1.690684307083512
SP500,2019-06,1.2421626618758452
SP500,2019-07,3.6657976172869144
SP500,2019-08,-3.2914457365223138
SP500,2019-09,2.9217556964503455
SP500,2019-10,-0.15025312588260453
SP500,2019-11,4.272772324718455
SP500,2019-12,2.3139205669457485
SP500,2020-01,3.193620792981844
SP500,2020-02,-0.02710773723488824
SP500,2020-03,-19.068070194658603
SP500,2020-04,4.131423037262105
SP500,2020-05,5.707500912045704
SP500,2020-06,6.338024331663883
SP500,2020-07,3.3162456330321
SP500,2020-08,5.739176126387724
SP500,2020-09,-0.7722751453789756
SP500,2020-10,1.5802832740796413
SP500,2020-11,3.811129505182942
SP500,2020-12,4.12278977766225
SP500,2021-01,2.663874507216746
SP500,2021-02,2.363986070158086
SP500,2021-03,0.697222324801583
SP500,2021-04,5.898668771903637
SP500,2021-05,0.6440998474093629
SP500,2021-06,1.6948799483893495
SP500,2021-07,2.954432477546254
SP500,2021-08,2.0737731710595897
SP500,2021-09,-0.19449099560708838
SP500,2021-10,0.3411013769702764
SP500,2021-11,4.633335415001971
SP500,2021-12,0.1582483118188982
SP500,2022-01,-2.159617871554287
SP500,2022-02,-3.0135665438234205
SP500,2022-03,-1.0080140942733573
SP500,2022-04,0.0007009963455040236
SP500,2022-05,-7.991627073192076
SP500,2022-06,-3.5000181501978256
SP500,2022-07,0.32785350573316663
SP500,2022-08,6.310087225567629
SP500,2022-09,-7.407428096367996
SP500,2022-10,-3.232537642097355
SP500,2022-11,5.137815384013722
SP500,2022-12,-0.13037993486108013
SP500,2023-01,1.2339173563778116
SP500,2023-02,3.0052653352317993
SP500,2023-03,-2.7238772987478344
SP500,2023-04,3.85299129887271
SP500,2023-05,0.5994421692241403
SP500,2023-06,4.80442245389574
SP500,2023-07,3.744273465272241
SP500,2023-08,-1.1250211836032031
SP500,2023-09,-1.0827868912423932
SP500,2023-10,-3.1683166479536284
SP500,2023-11,4.465788720765107
SP500,2023-12,5.044506094457546
SP500,2024-01,2.5493834714821917
SP500,2024-02,4.3182525042043896
SP500,2024-03,3.164649209695658
SP500,2024-04,-1.123275473407881
SP500,2024-05,2.4006435572613505
SP500,2024-06,3.436625095374324
SP500,2024-07,2.268898074605419
SP500,2024-08,-1.0796307498352475
SP500,2024-09,2.611178393225666
SP500,2024-10,3.043073083294945
SP500,2024-11,2.3754979889035965
SP500,2024-12,1.3658299953754893
SP500,2025-01,-0.5222683235907355
SP500,2025-02,0.9896203128832104
SP500,2025-03,-5.873900906763996
SP500,2025-04,-5.532873701499563
SP500,2025-05,8.220954685733094
SP500,2025-06,3.7693169780276703
SP500,2025-07,4.420378535684422
SP500,2025-08,1.7859346377016028
SP500,2025-09,2.7316266227122465
SP500,2025-10,2.303663837164094
SP500,2025-11,0.07711235229299618
SP500,2025-12,1.6635746187375622
SP500,2026-01,1.1104080374321867
SP500,2026-02,-0.5096704057242274
SP500,2026-03,-3.4724971070349553
SP500,2026-04,4.547181714958537
SP500,2026-05,6.547985943053236
SP500,2026-06,0.5056471734848245
SP500,2026-07,0.8350989056040703
